TEXT,ID,Human codes,gpt-3.5-turbo,Claude 2,llama13b-v2-chat,llama7b-v2-chat,Relational Uncertainty
"There are several things I am sure about in my relationship with my spouse. I know that we are committed to being together, and that we support each other in whatever we try to do - we are each others cheerleaders, we both know we have each other's back. I am sure about how we perform our relationship in a practical sense - keeping house and what not. I am fairly certain about our future goals and how we like to use our leisure time/time together, to satisfy both our needs. I have a pretty good idea of the things we need to compromise on, and I trust that we are able to do so. I am uncertain about some things related to our sexual relationship, and how compatible we are in that regard. I have fairly particular needs and desires in a committed sexual relationship, and getting my partner on board with that has been somewhat of a struggle, so that causes some uncertainty as to whether or not we will both fully satisfy each others needs in the long run. I am certain, however, of both of our desires and abilities in addressing and dealing with our uncertainties, so that helps to manage the uncertainty.",21,5,4,4,5,6,5.44
"I am certain that my partner and I have the same basic goals in life (marriage, owning a home, having no children) and are on the same page in terms of achieving them. I also am completely certain that we feel the same way about each other and share a profound mutual respect and love. We also agree on the terms of our relationship and while we have very few ""rules"" in a traditional sense, as we have an open relationship, we do make a point to make sure that the other person always feels loved and valued. Overall, this feels like a very stable and lasting long-term relationship and I feel happy to be a part of it. I expect it to be successful for years to come and much look forward to spending the rest of my life with my partner. I feel very strongly committed to this relationship and I have no doubt whatsoever that my partner does as well, especially as we are on track to get married next year.  On the other hand, I am not certain about how we will change throughout the years; it's possible that we may become two very different people in a couple of years and will have to continually find new ways to connect and learn about one another. We also have very different social habits, which have created conflict in the past; my partner prefers to spend a lot of time with me and his friends, while I prefer to spend time either with just friends or with him. This is something we will likely have to continue examining throughout the course of our relationship.",124,5.5,5,3,5,6,5.63
"There is quite a bit I am certain of. We still have strong romantic attraction after several years being together. We share many of the same laughs and cries, we have very similar tastes. On things we differ about we seem to have a strong sense of respect for the others opinion and know what to 'tip toe' around. but overall I feel like I found both a best friend and a partner. Our lives are intertwined now including our families so we certainly became part of each others lives.  On the uncertainty side its all the normal stuff.. Just some odds and ends.. for example she is career oriented, and I am not.. This sometimes is a cause of  uncertainty especially when looking at our future. I am getting older as is she, so sometimes we also talk about children which is a bit of a sore spot. I want the relationship to last and wouldnt mind getting married but she is not interested in this and would prefer to plan living together till we get old and grey.  but overall just minor uncertainty and sometimes as silly as 'what movie do we watch tonight?'  or of course the food we eat- we both seem to like different kinds of food. but on a more serious issue, I do believe I am more attached to her then she is me and that is our biggest uncertainty unfortunately.",91,4,4,5,4,5,5.13
"Our relationship is very comfortable. We are clear on what we stand for and what we want for the future. It’s also fair to say we are just as clear on what we don’t want. We are very in tune, rarely have arguments and really support each other on a deep level.  What we agree on is that we know what bases are relationship. For instance, ethics, mutual respect, intimacy, love of family, travel, religion,  and personal growth are important to both of us. We give each other space we need to grow in these areas, and as a person. We believe that life is worth experiencing and each day should be considered a gift and live to the fullest. In addition two supporting family strongly, we believe it's our job to be good stewards and citizens of the world. This means better focus on environmental issues and  easing human suffering is at the forefront of our beliefs  and values. We focus on these areas because at this point in our relationship and our lives we believe it's the right thing to do.  What we also agree on is what we don't want our relationship to be. We don't want to be distant from each other or other people in our community or the greater world. our focus is and has always been on learning about the world and understanding both our relationships place in it as well as our own as individuals.  The above is what we are certain on.  We really don't have uncertainties at all. We are committed to our relationship as well as individual growth. If ever we have doubts or uncertainties, we discuss them right way.",127,6,6,4,6,6,5.19
"I am absolutely certain about the love we have for each other and it being genuine. We have been through a lot and have seen many advertises in our life. We have set a good foundation for our family and that is worth everything. We are great as parents together and both strive for a better future. We understand each other because we come from the same background. We always support each other and are the strongest supports of each other. I am uncertain about when we will actually get married. We have been together for years now, but things are not right financially and that holds him back. I think the hardest part of our relationship is trying to start our careers and balance family life. It gets hard sometimes and that can pull us apart with us being so busy. We had our first kid before we was really in our careers. Us spending less time together one on one can put a strain on it. I've always been certain about our feelings towards each other but the support systems we have beyond each other is little. That concerns me when we cant always see eye to eye. Communications is a big key in our relationship. This is something we always work on also. It always improves though.",63,5,4,4,5,5,5.5
"The beginning of my relationship was an uncomfortable road and a rocky one at that. In the beginning, I was incredibly insecure about my relationship. Granted, some things did happen that would make me feel that way. I didn't know where we stood and if it was something that she even wanted to be apart of. This was also my first time ever being in a long distance situation, which was incredibly new to me. We were working against a lot of odds it felt like, not knowing when we would be able to see each other next. It made everything much more intense and we got even closer than if we weren't long distance. Today, I am incredibly confident and certain in our relationship. We are able to talk about almost everything and we have a decent form of communication. Most of my insecurities around the relationship is that there was no way they would want to be in a situation where we can not see each other. The things today that I am certain about is where we are heading in the future, the things we would like to accomplish together and the plans we are making for our future.",7,6,3,4,5,5,5.44
"I am certain about most things in our relationship. I am certain that my boyfriend loves me very much. He always tells me how much he loves and appreciates me. We have been together for awhile, and I know that he cherishes me. I also know that I love him very much and I appreciate him a great deal. We have been together for awhile, but there are a few things that I am uncertain about. For example, we are getting ready to move in together in a few months. We have always lived separately. I am fiercely independent and introverted, and I'm not sure how I am going to adjust to living with him all the time. Right now I think I will be happy living with him, but I can't say for sure. It's unknown territory for me, so I will have to see how it goes. Hopefully I will be happy living with him and we will have a happy life together. I am also somewhat nervous that being together all of the time will lead to resentment between us. I value my privacy very much and it might be hard to adjust to having another person around all of the time. I'm worried that I will fall out of love with my partner the longer we're ""stuck"" together.",68,5,4,5,4,5,5
"The things I am certain about in my relationship/marriage with my husband is loyalty. We both know what it is like to be cheated on and we both know what it feels like to be loyal. Cheating is not acceptable and knowing that both of us has experienced that trauma, make us more devoted to one another. I am also certain about our life goals. We both want a house and children and we have a financial plan that we are putting into place to make sure those are achievable. We also share morals and values. We are huge fans of respect and make sure that we do for others more than we do for ourselves. We are certain about our faith in God and we both know how we can please him and how we can do for others as well. Some things we are uncertain about is our intimate relationship. We both are very awkward when it comes to this and I don't think we are on the same level. He has had relationships in the past based on intimacy and did not have the emotional connection with his past girlfriends. I had the connection emotionally and physically. I have no problem being intimate with him except for my personal insecurities of being too fat or ugly. We both are trying to make changes when it comes to this so that we have an equal amount of intimacy and emotional connection in our marriage. We are also a bit uncertain about our family dynamics. His brother has a wicked wife that is trying to split up the family and my husband and I kind of bicker back and forth about how this affects the family. One thing we can agree on, it is destroying his family. Over all, my husband and I have a very loving, deep connection and I know I want to be with him for the rest of my life and so does he.",140,3.5,5,4,4,6,5.25
Certain I am very certain that my partner loves me a lot. She is a very faithful and devoted wife. We share a lot in common. As a couple we like going places and making great memories. She is always positive about doing things together. Both of us love gardening and do it together most of the times. We love food and cooking. She is a great baker and I like making meat dishes. We complement each other. We are certain about our financial goals as a couple. Each week we sit down and review our financial position and how we are doing towards our savings and retirement goals. We shop a lot together. She loves buying clothes for both of us and I buy mostly gadgets and household goods.   Uncertain We are uncertain to some extent whether we want to have kids right now or some time later. She is focused on her career and don't want this decision to hamper her professional prospects. We want to have kids for sure but not certain about the timing. We are also uncertain if we should invest in real estate. We are thinking for a long time to buy  a second house but are very uncertain looking at the current political and economic condition.,46,4.5,5,4,5,6,5.38
"I am certain that our relationship is strong and that we are very good at communicating. We are a strong team that definitely pushes each other to be better and to achieve our goals. We have achieved a lot since we have been together and have made a lot of dreams comes true. Personal dreams and dream of our relationship.  We are definitely quick to have a heart to heart if we feel that something needs to change or if we are unhappy about a certain aspect of whatever situation may arise. Coming from a broken family, the uncertainty is always there of ""will this relationship ACTUALLY be able to go the distance"". Although right now you feel that you're different and you're doing everything so perfect, you never know what the future holds. For someone who never in their wildest dreams could imagine that their parents would split it, it actually did when I was in my early twenties. When people divorce after 30 years together, it makes you questions your own relationship and wonder if anything is even worth it, if we're just going to go through heartache in the future. And in the back of my head I always have that uncertainty is my partner loves me the same amount as I do and if they are secretly holding back things that will cause our relationship to implode one day.",86,4,2,4,4,6,5.25
"Currently we are pretty happy about everything. We are secure in our work and home life. We seem to be happy to the point we are planning on getting married in a year or two. We both are happy with sex, money, issues in the relationship, and how we handle issues if the problems arise. We are level headed so if something does go wrong we dont run around with our heads cut off. We are also on the same page as how many kids we want and even the type of house we want. Overall we are pretty good right now and I dont see anything major that would cause us to not like each other or cause a breakup.   As far as things that are uncertain, its mostly issue with the job. We both work at stable places but they want to sometimes send us to other offices in different cities. This sucks and normally dont like it but its normally short for a few weeks and we do get through it pretty well. My girl friends job wants to post her perm out of state because shes pretty good at getting things done there. Problem is mostly should she quit her job or should I and then find another if we do move. I wont just leave her over a job but it is a little stressful.",83,4,5,3,5,5,5.13
"The one thing I am most certain about in our relationship is that we have very similar goals when it comes to training, nutrition, taking care of our bodies and building our physiques in order to make them not only impressive visually but also healthy inside out at the same time. I’m certain that having similar goals in that regard helps us a lot when we go out. Our food choices at the restaurants are restricted because we don’t simply eat everything. We count the macronutrients and overall calories in everything we consume so it is of vital importance our food choices to fit our eating protocol and to coincide with one another. I’m certain that we are both benefiting by being in a relationship and taking care of our nutrient needs.  The one thing I’m not really certain of is whether she likes my entertainment choices or not. What I mean by that is that the TV shows and movies I choose to watch with her might not appeal to her taste as much as she wants to show to me. Maybe I am imagining things but I don’t think her favorite genres are Science Fiction and Fantasy and she just acts in that way because she doesn’t want to break my heart by not being so enthusiastic about those Movies/shows that I adore.",76,3.5,4,4,4,6,5
"Things I am certain about: that I love this man with all my heart, body and soul; that I am IN love with him; he means the world to mean; I would be miserable without him; He's my best friend. I'm pretty much certain about all things surrounding the fact that I love him. I'm certain about the interests that we share and where we have our differences. I'm certain about the way he thinks and feels about things on a moral scale. I know we enjoy spending time together because we are bursting with fun and energy when we do. And long for each other when we are apart. I know we enjoy each other.   I am not uncertain about many things when it comes to my relationship with him. I love him and that is what matters. Some things I'm not certain about include: If he actually needs me the way I need him; If we will be together forever ( thought I think and hope and wish this to be true), If he really knows how much I love him. Uncertain if we want more kids, I'm not sure how he feels and I'm not really sure how I feel.. we should probably talk about that soon.",34,5,5,5,5,5,5.06
"My husband and I met in high school and are now in our early 30's. We've weathered many tough situations together including relocating, career changes, and medical issues. Time after time, my husband has shown me that he cares and that he stands behind me 100% of the time. I feel that my husband and I have a nearly rock solid relationship that has what it takes to last.   We have now have two boys together, one 4 years old and the other just 2. We have shared ownership of our home for over 5 years. My husband works hard to provide for all of the finer things that we all enjoy. The both of us come from troubled backgrounds so we really find great comfort in being able to relate to one another. I feel like I can be completely honest with my husband. He's not very judgmental at all and gives me very sound advice whenever I need it.  I feel like I've come to know my husband really well and cannot imagine any other life without him. I'm certain of our relationship because I don't ever want to be without him. In May of this year we celebrate 10 years of marriage and I look forward to many, many more.",50,6,5,4,6,6,5.06
"We are married so we have long since established our set behaviors. I am certain that our relationship is pretty strong. We both care about how the other is feeling and doing in life. We both have similar ideas about money management. We are on the same page mostly politically more or less. We both can tolerate missed dishes or messy rooms. Neither of us want children.  Uncertainty lies in a few areas. For me I have some health issues and feel less than at times. It makes me think I am dragging him down with me since it's hard to be employed with them. If they progress I worry it will be very hard on our relationship. Medical bills have made our stress levels go up a bit money wise.  Also I want a dog. He is not very big on adding responsibilities to our life. While he knew I'd get one eventually, I worry it will add strain to our relationship. If I get worse some of that will fall to him to take care of so I can see his concern.  He is also going back to school. He is already employed and has a degree but he wants to help out the emergency management for our county and it would require an added certificate. So we will have less time together to bond and further cement our relationship. Also if the fafsa doesn't cover everything we will have to add on to our financial burdens which I already stretch.  Also I am going away for a month or two to visit my sister. She lives quite far away from us so we will have to keep touch with a phone or computer games. He doesn't like me gone that long so that will add to any tension we have already going.",137,5,4,5,4,6,5.06
"We're both on the same page and are certain about what we want in life. We discuss our plans and views we have towards the future, we discuss monetary issues and goals, we have a set plan for the both of us which is progressing at this point. We are also certain about the feelings for each other, we've discussed this at length and I can feel comfortable knowing how my partner feels. We've been together so long that everything that interfered or could cause issues with the relationship has disappeared. I know that I can trust and rely on my partner and that she trust that I will do the right thing all the time.  I'm uncertain about day to day things that I think most people are. For example things like where we should keep living, who we should keep getting a long with and meeting. This depends on the person. I like some people that my wife is not fond of and she has some friends that I don't like. This is usually a point of contention however in the end, it's what makes each other happy that counts, so we don't dwell on it.  We're also uncertain about the dynamics of job and working. My wife wants to work less and I want to work more to save more money. While those issues are minor and they rarely come up, they are still an uncertainty.",94,3.5,5,3,5,6,5.19
"Well my wife and I have been together for 11 years now.  I really can connect with her on almost every level.  We are into the same things, like sports and food.  We love to go out to the game and have a nice time just watching it and having a beer and something good to eat.  She is always able to really be there for me when I need something and really most of the time she can sense when I need something.  I was attracted to her the moment I meet her even though we were just friends when we first meet.  Even with all of the great things that our relationship offers the one thing that I am not always certain about is her sexual desire for me.  She has not always been the most forth coming when it comes to things of that nature.  She has almost never initiated a sexual encounter and seems a bit put off most of the time when we are together.  I have always asked her about how she is feeling when it comes to our intimate relationship but I do not always feel that she is giving me an honest answer.  I just really am always on the fence when it comes to how see feels about our sex life and would really like to get to the bottom of the problem whether it is me or something that she is hung up on.",99,3,3,5,3,6,5
"We have a very open relationship we talk about anything and everything and Iam luck enough to have found somebody who has my same values,morals, and wants. We very seldom disagree. We both love we the are at in the relationship and where we are going. My partner treats me with the upmost respect and cares for me, Iam very luck to have found her, and I treat her the same way. If anything was uncertain about our relationship it would be that she is a state away and Iam starting a new job soon, and Iam trying to work out how to be closer to her and spend as much if not more time with her, while starting a new job, while I have two choices, one doesnt close the distance gap, so Im kinda of scared to take it, although it pays well, and I havent brought this up to her yet, I would like to see her move closer to me, however she has a child and family where she is now, so I hate to ask or bring it up. I know she will say we can work through it, but it bothers me greatly at this time. Thats the only really uncertain thing at this time. Im very certain and secure in our relationship and so is she, when I have questions or she has questions we simply sit down and talk about it, we dont hide anything or ignore stuff, our rule is communication, if you have any questions or doubts we bring them up and discuss them, Iam so lucky to have found her, because we agree on our relationship and how to maintain it, while we may disagree on a few other things, our relationship is stable, happy, and will last for a long time.",135,4.5,5,4,5,6,4.81
"Most of my relationship is based around certainty. We knew each other for a very long time before we started dating, so we knew who each other was and what they wanted before we started dating. Our relationship has had a high level of communication and we talk about everything. I am certain she loves me. I am certain she wants to be with me. I am certain she is loyal to me and that she trusts me to be loyal to her.   The only thing I am really uncertain about is children. We both want children, or at least we say we do, but we don't talk about it much, or when we do talk about it, it's more like a fantasy than something that is actually going to happen. I sometimes feel that she likes the idea of having children, and the she herself really does believe she wants children, but that somewhere deep down she actually doesn't. I've raised this concern to her and she assures me she wants children, but I still don't know if she's being honest with herself. This would be a deal breaker if she actually does not want children. We have invested a lot of time into each other and I want to be with her, but I have to have children at some point.",71,4,4,3,5,5,5
"I have been in my relationship for over 10 years. We both don't want children and never did. That I am certain of. I am very happy about that because I never wanted children. I also know that we love each other very much. We also are interested in the same things, like anime, video games, and photography. He loves golf, though, which I can't stand and that takes up a lot of his time. We do have issues with time. We both work a lot and don't have as much time for each other anymore. It's hard finding time when he has his hobbies and I have mine after work. It's also hard because we aren't married, but are living together. I want to get married soon, but he wants to wait. This puts a strain on things. I would love to get married, but he just doesn't see the point right now. I think it would help us financially and we could try to save up for a house. It's hard living in the bay area where things are so expensive. It puts a strain on our finances. I'd like to move, but he doesn't. So, we don't agree on those things. He also has kind of let himself go and gained weight and I don't like that. He's not as attractive as he used to be. I want him to lose weight, but he doesn't care and says he's too busy with work.",104,2,3,3,3,6,5.06
"I am certain that we do love each other and care for each other's well being. We have a good time when we are together and the feeling after all these years in the relationship have not went away. We encourage each other to do our best and support the strength and belief in oneself to strive for excellence in our lives. We also find each other attractive which is important as emotional compatibility in the relationship. We are able to talk about almost everything with no judgement that we probably have not told others. I do consider my partner my best friend and I know the feeling is mutual too.  The downside is not many but there are a few internal struggles on my part, a little on his that makes me question the state of our relationship.  At times it reach a massive blowup where I will feel bad afterwards. There are also external factors too that makes me unhappy and then  I question my relationship. Not often but when a issue(s) crops up, I'm not exactly a full of sunshine to be around, I must admit. I also wondered when we will get married and back of my head wonders do he truly want to marry me.",37,4,4,4,5,5,4.94
"At this point, I feel my partner and I agree that our relationship is one that is going to last. We both have some doubts from time to time. I'm not always certain that we are right for each other. We have very different personalities that conflict quite a bit at times. Our styles of communication are very different, which sometimes do not mesh well. I prefer to avoid while he prefers to tackle things head on. We also have very different love languages regarding how we express and wish to receive love. It is very hard differing so much across these very important aspects of relationship. I feel that we just don't really understand one another in many instances; however, we both make an effort to work towards a better understanding of one another's needs and desires. One thing I am certain of is our devotion and commitment to one another. I am quite certain that we both want the same things from the relationship. We both have expressed a desire to spend our lives together. We both want this relationship to last for the long haul, with both of us reaching pure happiness together. I am absolutely certain of those things. I am still uncertain how or if we will achieve that.",52,3.5,3,4,4,5,4.81
"There are a few things that I am certain of in the relationship right now. We are both happy with the way things are, we're supportive of each other and want to help each other to succeed in our individual goals. I'm certain that when we have some type of problems, whether minor or major, we can get through them because we have good communication. I know that we both view the relationship as a long term thing and neither of us are anticipating finding someone else they'd rather be with.  One of the major things I am uncertain about is the possibility of children. I've made it clear that it's not something I'm interested in and I think she still wants me to change my mind about it. We do talk about it sometimes but it's not something that can be easily resolved so it's always just something that gets put off for the future and I don't know what will happen. We are also not living together yet but should be making that move soon. I am a little uncertain about whether or not we will be compatible in that regard. I think things will work out fine but there is always some doubt when you get that close to someone.",48,3,3.5,4,4,5,4.81
"i am quite certain that we can coexist as a relationship unit.  we both have similar likes and dislikes.  our hobbies coincide so we can get along with many things that we do in our leisure time.  we have a strong sense of family and happiness that guides us to have a compatible relationship. i am certain that whatever problems we have we can work through for our long term commitment.  i am certain that whenever we go on vacation we will have a great time together site seeing and going to different clubs to enjoy the scenes.  i am certain that when it is time to do chores around the house, we both can participate and help each other with the work that needs to be done. .  i am uncertain that all this happiness can last for the rest of our lives  you never know when a tragic accident can occur and it can all be over in a moments notice.  i am uncertain that when there is a petty argument that it can't be stopped into a big argument that can cause unnecessary problems.  i am uncertain that during times of immediate family crises that sadness will not subside and we will have to go through hard times to grow our relationship.  i am uncertain if our likes for hobbies will continue as well.",78,4.5,5,4,4,6,4.88
"I'm certain that my wife loves me and I'm certain that I have the same mutual love for her. I'm pretty certain that we equally love our family that we've created and we wouldn't change the for the world. I'm certain that though we may argue and say that we are leaving sometimes that it's not going to happen because we have a house that we've both but our money and time into. I'm uncertain of how long the relationship will last in the long run, though, as ""forever"" is a very long time and I'm sure she feels the exact same way (I know her). I'm uncertain that our relationship progressing; it's actually rather complacent so I'm not sure if that's going to hurt us in the future. Also I'm not sure how long our sex life will continue to keep up, as it's already went a little down hill since all of the kids were born. We used to go at it like rabbits for the first few years but now we are so busy with everything else that sex is not on either one of our minds, it seems. The last thing I'm uncertain about is my wife's family; not that I'm uncertain about how they feel about me, but rather the fact that I don't too much care for them and a lot of the time my wife allows them to interefere in our relationship.",95,3,3,3,4,6,4.81
"Well when our relationship started, it felt a lot more like a friends-with-benefit relationship for a couple months, we didn't really know if we were boyfriends or not because we were inexperienced and did not really want to talk about it. However, with time we started talking more and we officially announced ourselves as boyfriends and honestly it felt really well. We currently do not live together and he barely uses his phone so we do not talk a lot during the day but i am confident that he is loyal to me but you can never be certain. I am certain that he equally loves me as much as I love him now that we've been dating for a little over a year but I am uncertain on whether or not he wants to see me as much as I want to see him. I am kind of the kind that gets attached too quickly and loves to cuddle at night while he is the independent kind of guy and prefers sex then cuddling. Our libido isn't the same. To be honest, you can never really be certain if someone loves you as much as you do until you ask them to marry you knowing there's no other aspect of it encouraging them to do it (money). But each relationship is an adventure to its own, and it is up to the relationship people to achieve their adventure to the fullest.",97,3.5,3,4,4,6,4.19
"I am certain that we were connected for a divine purpose.  I fully understand the complex nature of our relationship given our spiritual beliefs.  I am certain that we both have a deep love for each other.  I am certain that we both have a deep respect for each other.  I am certain that at this time I am the only one in her life and she is the only one in my life romantically.  I am certain that her actions our clear in regards to how important I am to her.  Although sometimes I am uncertain if she knows how important she is to me.  Even though, we both agree that their are boundaries currently in place in regards to how we can express our romantic feelings that we have toward each other, we have been delicately trying to approach alternatives way to redefining our relationship in hope to guarantee longevity.  We have agreed to independently handle the feelings that we have that conflict with our spiritual belief and many of times we remain silent on these feelings.  Every now and then we will briefly acknowledge that we still have issues reconciling them and attempts to perhaps put distance between each other just do not work.  Somehow we find ourselves back into the same rhythm we've had since I first met her.  Seldom are we apart so I'm uncertain if I can interpret that as if we will continue to maintain the relationship for what it is.  We are not seeking to compare it to others.  We are not defining it by anyone else's standards.  That is what I am certain about.  I am uncertain that because of our spiritual beliefs if we try to force the dynamics of our relationship to change that perhaps we won't last.  I am uncertain and I would almost bet that she is uncertain if our spiritual beliefs will allow our relationship to continue to grow and blossom.  I love her and she loves me that we are both certain of but uncertain just how far and how long the love will keep us together.",146,3.5,3,4,4,6,3.81
"The status of our relationship is great so far. I feel that we have much more positives than negatives. Our positives are we both are the non-argumentive type. We rarely get into arguments or disagreements. We also are both into religion. I feel that brings us and our families closer together. Personally, I am very committed to our relationship and have plans for us in the near future. On the other hand, we do have some negatives as well. We are uncertain about when and where we want to have children. I want us to wait until were settled down in a better place and possibly a new state. My partner wants a child asap but is willing to look from my point of view. Every now and then we do argue, but quickly make up. Also, us working so much means were not able to spend as much time together. I work during the days and she works during the evening some days. We have never had any issues as far as cheating, commitment, etc. I believe that my partner shares the same opinion about our relationship as I do. We both very happy and eager to start the next step.",9,3.5,5,2,5,5,4.13
"i hope good relationship move on with my partner, we are enjoying the good relationship. My partner very fit to me, any sorrows and failures she came cheer-up with me. Very helpful person for my partner. Everyday we are enjoying with our own life, I say one thing share with you because this is very awesome moment in my life, one day me and my partner walk with the road, this time was rainy moment, we are see in old couple in cross the road, That old lady very take care for that old man. This moment change in our life because we are how many ages comes but not we will fight or any sorrows, Still we going this relationship and same sweet relationship going in our end life. I really like this relationship, i have many achieve my goals back my partner. This is very awesome feeling.  We  dissatisfied with the status of our relationship, we are start blaming and feeling sorry for ourself . our question ourself . These questions haunt we and will be detrimental to our self-esteem. Unless you manage your expectations and do something about your relationship. sometimes very upset both are me.",5,4.5,3.5,4,4,6,5
"We started dating 7 years ago. Even now, I’m unsure if our feelings are mutual. He is a lot more affectionate than in the beginning but that, too, is fleeting sometimes. I’m not sure if he is in the relationship, because he needs me or has genuine caring feelings for me.  Other than that, he is silly and does things to make me feel warm, smile and envoke my curiousity often. Everyday, I look forward to seeing and being in his company.  The things that I’m certain about is that we will be together for a long time. During that time, I will enjoy his company. He will continue to be himself that I have enjoyed for years. Our personalities won’t change much.  The things I am uncertain about are his feelings for me. What my feelings will be for him once he gets older. Will I be as patient? I think about our health a lot. Will I be able to be there for him as I have been? Will we have the same relationship once we cannot spend as much time together? Will it actually improve our relationship?  I am considering having a kid. I’m also not sure how he feels about that. Sometimes it seems like he likes kids and sometimes he does not.",59,2,3,2,3,6,3.69
my partner is very important in my life. Its good person he have share any thing to me. he has help full in every second in my life. I like and love him. every day i fell new avenger in my life. its very honestly love him. its full of mixed in my life and every ware. last week my birthday celebration its going the fantastic moment in my life my partner it change to happy moments for full day. That day me little sleep to sex in my partner. true lover are also friend maybe impossible to keep sexual excitement at the same fevered pitch it might have been at the very start of a relationship. its my good level to maintain in my partner to the going well in my relationship. my friends and family very helpful in my relationship. all most going to married in few months so enjoy my lovely relationship. more time sex with in my partner in differs please its can ever all over to be go well its over to enjoy my life. both member to accept my relationship and get will soon to ready marriage its all the thinks. very enjoy in my life.  but uncertain small problem in my life its all off thinks there well to be able to some problem faced. its can every moment but not can over to the some irritating.,87,5.5,2,3,3,6,4.06
"I am certain about how much she loves me and were we are going together. we talk all the time and discuss what going on in eachothers lifes. We talk about our sex lives and what we want out of the relationship, we both have decided that we are the ones for eachother. I am certain of how i feel about her and her about me. One thing im no certain about is what going to happen with her sister. im afraid her sister and her boyfriend are going to split up and my Girlfriend will want to take in her sister and I cant stand her sister. I dont like how she treats my girlfriend. I told her a few weeks ago if she moved in with us I would have to move out and she got really upset about it but i dont know what else to do. Im also no certain that I want kids and she does and that causes problems because even though she is in her 20s she still is worried about getting to old to have them. But none the less we have a good realtionship we just need to work on some stuff.",4,3.5,3,3,5,4,4.56
"Actually we both are most certain about our  relationship in the way that we trust each other heartfully to the core, and we respect each other, and also defend each incase unwanted troubles,  which we have proved over time for each other so much and hence we have overcomed all our egos, doubts, and misunderstandings in a big way,Which has helped us very much stay in genuine love, infront of others with pride and conviction, this is for sure, and hence we have become rolemodel to other pairs who are struggling in life, to understand each other, and finally we both have got that courage also, to make it big in life, commercially with lot of love for each other.  And  then uncertainty is only about our families, as whether they support us or not, in future for our happy life, as they are finding it difficult to trust us in all the ways, because of the differences in caste, creed, culture, languages, status etc, where they are worried about what people talk socially, which can damage their  self respects and status that they have earned all these years, hence they just want win win options, till then they are not all fully convinced about us.",25,5,3,3,5,6,4.19
"In my relationship, I am very certain that my partner is committed to me in certain ways. She does care about me and thinks about me during the day. She does want to make me happy when I get home and take care of house chores. She does seem to really value my opinion and ask me for my various opinions and suggestions on a daily basis. She wants to know about my life and think about life in new and exciting ways with me. We do both want to eventually have children together and share our life experiences with them together. We both like to partake in similar activities and go to similar locations and places. There are a few things that I am uncertain about. We do seem to disagree a lot in arguments that we have with each other. We don't like the same kinds of television shows or programs. She doesn't care about her health as much as I seem to value it. I often wonder how smart she is because she doesn't think about long term goals as much as I do. We do seem to argue a lot and disagree on certain topics. I often wonder if we are a good couple because of reasons such as these. She doesn't like sports as much as I do. She doesn't work as hard at certain things as I would like her to. We don't have the same ideas about how our house should look or what kinds of animals we should have. She likes cats and I like dogs. She eats too much food in my opinion and i'm not sure If there is anything that I will ever be able to do about that. I don't know if these things are all important but I figure that I should mention them just in case. I hope that what I wrote is very helpful for this HIT, because I am really trying to think of several things that I can write about. Hopefully we can both agree to disagree with certain things, because we are a great couple and we should really care about each other and take our time to understand that we are good for each other. It is hard to find someone who is perfect, and so I don't want to waste my time looking for perfection. She is a gre",152,2.5,4,4,4,6,3.31
"Well honestly , our relationship is kind of weird. I'm certain that we both love each other tremendously . We have fun and can talk and enjoy each others company for hours. Though, I'm uncertain of the extent of her love, like how much does she really care for me - to be with me for the long term. We both have the same goals, to be successful in our careers and start a family someday. I'm just not sure if it will be with each other at this point. I know I'm committed to the long term, but I could not be certain she is thinking the same thing. I think she feels she does not have much time left, as far as starting a family is concerned. Meanwhile, I want to focus on my job, etc and stability before that. And being the beautiful woman that she is, I know that she thinks she may have better options when it comes to getting whats she wants , even though she loves me. I love her and want to make things work, but one thing I'm sure off, is that if not, I will be ok. I'm certain this is the person I would want to be with for the long run.",31,2.5,3,3,4,5,4.19
